amfi_code,beta,alpha,r_squared,scheme_name,fund_house,category
119598,0.0743,30.1114,0.0014,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
149324,0.1326,29.8179,0.0047,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity
120505,-0.0174,29.3014,0.0001,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity
148569,-0.0102,28.3473,0.0001,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity
120843,-0.0087,27.2784,0.0001,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity
100033,-0.0112,27.2343,0.0001,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity
148567,-0.0281,27.115,0.0007,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
149323,0.0035,26.5836,0.0,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity
119094,-0.0599,25.9971,0.0016,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity
119551,-0.056,23.2196,0.0028,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
118632,0.0364,21.7281,0.0011,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity
101206,0.0338,21.3945,0.0009,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
120504,0.017,21.2094,0.0002,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity
148568,0.0001,20.7917,0.0,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity
119552,-0.0199,19.8293,0.0003,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
125497,-0.0055,17.8913,0.0,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity
118634,0.0091,17.8002,0.0,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity
120503,-0.0041,17.5879,0.0,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity
102885,-0.0019,16.9927,0.0,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity
120506,0.0477,16.2837,0.0016,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity
102887,0.0401,16.1793,0.0011,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
118633,0.0132,15.5038,0.0001,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity
118635,-0.0138,15.1606,0.0002,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity
149322,0.0148,13.1299,0.0002,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity
120841,0.0417,13.0683,0.0016,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity
125498,-0.0185,12.0554,0.0002,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity
101207,-0.0599,10.8205,0.0009,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
119093,-0.0084,8.3299,0.0001,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity
120842,0.0006,7.8587,0.0,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity
119092,-0.0196,6.9702,0.0003,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity
120507,-0.0011,6.7472,0.0009,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt
120844,-0.0001,6.4546,0.0,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt
101208,0.0013,6.0842,0.0011,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
119120,0.012,5.5763,0.0015,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt
118636,-0.0085,5.0963,0.0008,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt
119599,0.0077,5.0572,0.0,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
119095,0.0133,4.568,0.0,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity
100025,-0.0162,4.3189,0.0028,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt
100016,-0.0259,3.6221,0.0005,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
102886,-0.0615,2.8949,0.0019,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
