amfi_code,cagr_3yr_pct,sharpe_ratio,alpha,max_drawdown_pct,scheme_name,fund_house,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_maxdd,composite_score,fund_rank
120505,31.77,1.1801,29.3014,-18.19,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,1.36,90.0,90.0,95.0,65.0,62.5,84.5,1
119094,35.1,0.9982,25.9971,-20.96,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,1.38,100.0,75.0,80.0,60.0,70.0,80.75,2
100033,32.43,1.0937,27.2343,-16.22,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,1.38,92.5,85.0,87.5,60.0,50.0,80.5,3
148567,33.99,1.4483,27.115,-11.27,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1.46,97.5,100.0,85.0,45.0,20.0,80.0,4
120843,29.58,1.3067,27.2784,-12.97,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,1.45,85.0,97.5,90.0,47.5,32.5,78.25,5
120504,32.48,1.0265,21.2094,-12.59,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,0.8,95.0,77.5,70.0,72.5,30.0,75.75,6
119598,26.66,0.9453,30.1114,-28.71,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,1.43,72.5,67.5,100.0,50.0,90.0,75.125,7
149324,26.99,0.9498,29.8179,-31.17,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,1.52,77.5,70.0,97.5,36.25,92.5,74.9375,8
148569,29.17,1.2349,28.3473,-16.4,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,1.6,82.5,95.0,92.5,11.25,52.5,73.9375,9
119551,30.45,1.2083,23.2196,-15.01,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,1.54,87.5,92.5,77.5,26.25,42.5,73.0625,10
118632,22.65,1.0817,21.7281,-17.41,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,1.51,67.5,82.5,75.0,41.25,57.49999999999999,67.8125,11
149323,26.86,1.1321,26.5836,-17.25,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,1.61,75.0,87.5,82.5,7.5,55.00000000000001,67.5,12
101206,28.96,1.0272,21.3945,-11.29,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,1.6,80.0,80.0,72.5,11.25,22.5,62.4375,13
118633,21.08,0.6452,15.5038,-18.63,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,0.72,65.0,50.0,47.5,88.75,65.0,61.3125,14
