amfi_code,hhi_score,num_sectors,top_sector,top_weight_pct,scheme_name,fund_house
119092,0.2065,7,IT,38.18,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
101207,0.2007,6,Pharma,35.07,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
119599,0.1748,7,Diversified,28.25,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
102885,0.1747,8,Utilities,28.95,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
118632,0.1682,6,Telecom,30.44,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
148568,0.168,6,Banking,28.61,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
120505,0.1575,7,Pharma,23.46,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120506,0.1537,7,Banking,21.47,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
125498,0.1524,6,Banking,22.83,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
120841,0.1497,7,Banking,22.44,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
148569,0.1495,7,Telecom,25.53,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
100033,0.1476,7,Automobile,26.07,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
149323,0.1416,7,Pharma,22.84,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
120503,0.1409,7,FMCG,20.69,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
100016,0.1395,8,IT,25.9,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
148567,0.1386,6,Diversified,22.93,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
125497,0.1366,7,Diversified,19.04,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
119094,0.1364,6,FMCG,23.17,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
118635,0.136,6,Banking,17.85,Nippon India ETF Nifty 50 BeES,Nippon India MF
149322,0.1344,7,Pharma,18.28,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
119093,0.1309,8,NBFC,20.22,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
102887,0.1298,6,Pharma,19.73,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
101206,0.1293,7,Automobile,19.02,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
120843,0.1287,9,Utilities,19.94,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
120842,0.1275,8,Automobile,19.5,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
118633,0.1215,7,Banking,20.73,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
149324,0.1187,9,NBFC,19.71,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
119551,0.1187,8,IT,18.22,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
102886,0.1147,10,Consumer Goods,18.99,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
119095,0.1096,8,FMCG,17.8,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
120504,0.1087,8,Utilities,17.37,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
118634,0.1084,8,FMCG,13.59,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
119552,0.108,7,Automobile,17.88,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
119598,0.1074,7,Energy,16.5,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
