amfi_code,sharpe_ratio,sortino_ratio,volatility,scheme_name,fund_house
100016,-0.2015,-0.351,14.5481,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
100025,-0.5671,-0.9418,3.9052,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund
100033,1.0937,1.8291,18.9367,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
101206,1.0272,1.7996,14.5682,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
101207,0.1627,0.2766,25.7973,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
101208,-0.8156,-1.681,0.5064,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF
102885,0.8171,1.4357,12.8366,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
102886,-0.2058,-0.3472,18.1346,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
102887,0.6195,1.0888,15.7584,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
118632,1.0817,1.8501,14.1484,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
118633,0.6452,1.1545,13.9972,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
118634,0.4484,0.746,25.2415,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
118635,0.6649,1.138,12.9832,Nippon India ETF Nifty 50 BeES,Nippon India MF
118636,-0.3566,-0.6135,3.9855,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF
119092,0.0308,0.0526,13.9507,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
119093,0.1296,0.2211,13.9833,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
119094,0.9982,1.7038,19.4071,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
119095,-0.076,-0.1282,25.0666,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
119120,-0.2266,-0.3768,3.9671,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund
119551,1.2083,2.1403,13.7414,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
119552,0.9533,1.6098,13.9394,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
119598,0.9453,1.6753,25.1406,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
119599,-0.0572,-0.0944,24.9501,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
120503,0.798,1.3379,13.8844,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
120504,1.0265,1.8053,14.3638,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
120505,1.1801,2.0294,19.2909,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120506,0.6489,1.0959,15.2305,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
120507,0.4957,1.0521,0.4939,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF
120841,0.4943,0.8626,13.4638,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
120842,0.076,0.1247,17.8947,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
120843,1.3067,2.3643,15.887,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
120844,-0.0887,-0.1877,0.5133,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF
125497,0.7758,1.3307,14.6689,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
125498,0.3006,0.5088,18.3524,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
148567,1.4483,2.3856,14.1937,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
148568,0.9263,1.6327,15.4291,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
148569,1.2349,2.1469,17.674,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
149322,0.464,0.7621,14.3539,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
149323,1.1321,1.8751,17.7462,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
149324,0.9498,1.6198,24.8402,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
