amfi_code,sortino_ratio,downside_std,scheme_name
148567,2.3856,0.5428,Mirae Asset Large Cap Fund - Regular - Growth
120843,2.3643,0.5531,Kotak Flexicap Fund - Regular - Growth
148569,2.1469,0.6404,Mirae Asset Tax Saver Fund - Regular - Growth
119551,2.1403,0.4887,SBI Bluechip Fund - Regular Plan - Growth
120505,2.0294,0.7067,ICICI Pru Midcap Fund - Regular - Growth
149323,1.8751,0.675,DSP Midcap Fund - Regular - Growth
118632,1.8501,0.5211,Nippon India Large Cap Fund - Regular - Growth
100033,1.8291,0.7133,HDFC Mid-Cap Opportunities Fund - Regular - Growth
120504,1.8053,0.5145,ICICI Pru Bluechip Fund - Direct - Growth
101206,1.7996,0.5238,ABSL Frontline Equity Fund - Regular - Growth
119094,1.7038,0.7163,Axis Midcap Fund - Regular - Growth
119598,1.6753,0.8936,SBI Small Cap Fund - Regular Plan - Growth
148568,1.6327,0.5514,Mirae Asset Emerging Bluechip Fund - Regular - Growth
149324,1.6198,0.9175,DSP Small Cap Fund - Regular - Growth
119552,1.6098,0.52,SBI Bluechip Fund - Direct Plan - Growth
102885,1.4357,0.4602,UTI Nifty 50 Index Fund - Regular - Growth
120503,1.3379,0.5216,ICICI Pru Bluechip Fund - Regular - Growth
125497,1.3307,0.5387,HDFC Top 100 Fund - Direct Plan - Growth
118633,1.1545,0.4928,Nippon India Large Cap Fund - Direct - Growth
118635,1.138,0.4778,Nippon India ETF Nifty 50 BeES
120506,1.0959,0.5681,ICICI Pru Value Discovery Fund - Regular - Growth
102887,1.0888,0.5649,UTI Flexi Cap Fund - Regular - Growth
120507,1.0521,0.0147,ICICI Pru Liquid Fund - Regular - Growth
120841,0.8626,0.486,Kotak Bluechip Fund - Regular - Growth
149322,0.7621,0.5505,DSP Top 100 Equity Fund - Regular - Growth
118634,0.746,0.9558,Nippon India Small Cap Fund - Regular - Growth
125498,0.5088,0.683,HDFC Mid-Cap Opportunities Fund - Direct - Growth
101207,0.2766,0.9555,ABSL Small Cap Fund - Regular - Growth
119093,0.2211,0.5164,Axis Bluechip Fund - Direct - Growth
120842,0.1247,0.6871,Kotak Emerging Equity Fund - Regular - Growth
119092,0.0526,0.5146,Axis Bluechip Fund - Regular - Growth
119599,-0.0944,0.9523,SBI Small Cap Fund - Direct Plan - Growth
119095,-0.1282,0.9359,Axis Small Cap Fund - Regular - Growth
120844,-0.1877,0.0153,Kotak Liquid Fund - Regular - Growth
102886,-0.3472,0.6772,UTI Mid Cap Fund - Regular - Growth
100016,-0.351,0.5261,HDFC Top 100 Fund - Regular Plan - Growth
119120,-0.3768,0.1503,SBI Magnum Gilt Fund - Regular Plan - Growth
118636,-0.6135,0.1459,Nippon India Gilt Securities Fund - Regular - Growth
100025,-0.9418,0.1481,HDFC Short Term Debt Fund - Regular - Growth
101208,-1.681,0.0155,ABSL Liquid Fund - Regular - Growth
